Game 1,Home,Score,Away,Score
,Boltway Bad Dragons,136,Pyxanovia Pixies,132
,Stedro Boulders,125,Faehrenfall Feathercats,135
,Ethanthova Ponies,135,Bongatar Banging Bongos,130
,Red Rainbow Sickles,126,Autolik Autonomy,122
,Naxda Nomads,143,Height Sagua Cats,147
,Solea Geysers,120,Kaeshar Kaisers,135
,Aahrus Moosi,135,Shmupland Dictators,130
,Transhimalia Disasters,137,TND Tanks,133
,Holy Yektonisa Bishops,138,Avura Aviators,150
,Lyintaria Lynx,117,Czalliso Pythons,116
,Holykol Bears,134,Dotruga Falno,124
Game 3,Home,Score,Away,Score
,Key to Don Yees,130,Blanaxon Hammers,128
,Sagua Ocelots,121,Manwx Saguans,129
,Barsein Bats,132,Serkr Atolls,141
,Calto Cows,139,Auspikitan Golden Falcons,141
,Aiyota Pumps,123,Dvimne Spirits,134
,Pyxanovia Pixies,142,Boltway Bad Dragons,140
,Faehrenfall Feathercats,123,Stedro Boulders,113
,Bongatar Banging Bongos,114,Ethanthova Ponies,119
,Autolik Autonomy,111,Red Rainbow Sickles,121
,Height Sagua Cats,132,Naxda Nomads,122
,Kaeshar Kaisers,132,Solea Geysers,121
,Shmupland Dictators,126,Aahrus Moosi,123
,TND Tanks,148,Transhimalia Disasters,125
,Avura Aviators,135,Holy Yektonisa Bishops,147
,Czalliso Pythons,107,Lyintaria Lynx,114
,Dotruga Falno,133,Holykol Bears,115
Game 4,Home,Score,Away,Score
,Key to Don Yees,131,Blanaxon Hammers,147
,Sagua Ocelots,125,Manwx Saguans,124
,Barsein Bats,137,Serkr Atolls,135
,Calto Cows,122,Auspikitan Golden Falcons,131
,Aiyota Pumps,103,Dvimne Spirits,127
,Pyxanovia Pixies,132,Boltway Bad Dragons,133
,Faehrenfall Feathercats,126,Stedro Boulders,120
,Bongatar Banging Bongos,117,Ethanthova Ponies,144
,Autolik Autonomy,135,Red Rainbow Sickles,125
,Height Sagua Cats,120,Naxda Nomads,123
,Kaeshar Kaisers,128,Solea Geysers,118
,Shmupland Dictators,120,Aahrus Moosi,123
,TND Tanks,134,Transhimalia Disasters,127
,Avura Aviators,124,Holy Yektonisa Bishops,128
,Czalliso Pythons,135,Lyintaria Lynx,123
,Dotruga Falno,110,Holykol Bears,102
Game 5,Home,Score,Away,Score
,Blanaxon Hammers,122,Key to Don Yees,149
,Manwx Saguans,117,Sagua Ocelots,110
,Serkr Atolls,134,Barsein Bats,123
,Auspikitan Golden Falcons,136,Calto Cows,129
,Boltway Bad Dragons,134,Pyxanovia Pixies,139
,Ethanthova Ponies,125,Bongatar Banging Bongos,123
,Red Rainbow Sickles,136,Autolik Autonomy,132
,Naxda Nomads,140,Height Sagua Cats,135
,Aahrus Moosi,117,Shmupland Dictators,124
,Transhimalia Disasters,126,TND Tanks,134
,Holy Yektonisa Bishops,127,Avura Aviators,128
,Lyintaria Lynx,139,Czalliso Pythons,138
,Holykol Bears,117,Dotruga Falno,127
Game 6,Home,Score,Away,Score
,Key to Don Yees,128,Blanaxon Hammers,126
,Pyxanovia Pixies,126,Boltway Bad Dragons,128
,Autolik Autonomy,119,Red Rainbow Sickles,139
,Height Sagua Cats,122,Naxda Nomads,124
,Shmupland Dictators,138,Aahrus Moosi,134
,Avura Aviators,135,Holy Yektonisa Bishops,134
,Dotruga Falno,122,Holykol Bears,128
Game 7,Home,Score,Away,Score
,Blanaxon Hammers,149,Key to Don Yees,152
,Holykol Bears,128,Dotruga Falno,113
Game 1,Home,Score,Away,Score
,Manwx Saguans,121,Key to Don Yees,137
,Serkr Atolls,119,Auspikitan Golden Falcons,125
,Blanaxon Hammers,121,Sagua Ocelots,133
,Barsein Bats,134,Calto Cows,129
,Dvimne Spirits,129,Boltway Bad Dragons,125
,Ethanthova Ponies,134,Faehrenfall Feathercats,130
,Aiyota Pumps,130,Pyxanovia Pixies,125
,Bongatar Banging Bongos,120,Stedro Boulders,109
,Red Rainbow Sickles,154,Naxda Nomads,149
,Shmupland Dictators,124,Kaeshar Kaisers,125
,Height Sagua Cats,125,Autolik Autonomy,136
,Solea Geysers,128,Aahrus Moosi,123
,TND Tanks,140,Avura Aviators,128
,Holykol Bears,108,Lyintaria Lynx,120
,Transhimalia Disasters,136,Holy Yektonisa Bishops,146
,Dotruga Falno,127,Czalliso Pythons,124
Game 2,Home,Score,Away,Score
,Manwx Saguans,112,Key to Don Yees,118
,Serkr Atolls,130,Auspikitan Golden Falcons,133
,Blanaxon Hammers,142,Sagua Ocelots,139
,Barsein Bats,102,Calto Cows,135
,Dvimne Spirits,131,Boltway Bad Dragons,141
,Ethanthova Ponies,131,Faehrenfall Feathercats,128
,Aiyota Pumps,124,Pyxanovia Pixies,145
,Bongatar Banging Bongos,137,Stedro Boulders,123
,Red Rainbow Sickles,130,Naxda Nomads,120
,Shmupland Dictators,109,Kaeshar Kaisers,113
,Height Sagua Cats,119,Autolik Autonomy,117
,Solea Geysers,123,Aahrus Moosi,132
,TND Tanks,117,Avura Aviators,128
,Holykol Bears,122,Lyintaria Lynx,128
,Transhimalia Disasters,124,Holy Yektonisa Bishops,136
,Dotruga Falno,119,Czalliso Pythons,128
Game 3,Home,Score,Away,Score
,Key to Don Yees,124,Manwx Saguans,120
,Auspikitan Golden Falcons,122,Serkr Atolls,120
,Sagua Ocelots,135,Blanaxon Hammers,132
,Calto Cows,119,Barsein Bats,117
,Boltway Bad Dragons,129,Dvimne Spirits,141
,Faehrenfall Feathercats,127,Ethanthova Ponies,129
,Pyxanovia Pixies,133,Aiyota Pumps,134
,Stedro Boulders,119,Bongatar Banging Bongos,132
,Naxda Nomads,125,Red Rainbow Sickles,120
,Kaeshar Kaisers,114,Shmupland Dictators,128
,Autolik Autonomy,117,Height Sagua Cats,130
,Aahrus Moosi,136,Solea Geysers,112
,Avura Aviators,116,TND Tanks,127
,Lyintaria Lynx,130,Holykol Bears,104
,Holy Yektonisa Bishops,125,Transhimalia Disasters,114
,Czalliso Pythons,124,Dotruga Falno,114
Game 4,Home,Score,Away,Score
,Key to Don Yees,129,Manwx Saguans,135
,Auspikitan Golden Falcons,124,Serkr Atolls,109
,Sagua Ocelots,130,Blanaxon Hammers,142
,Calto Cows,135,Barsein Bats,134
,Boltway Bad Dragons,128,Dvimne Spirits,152
,Faehrenfall Feathercats,134,Ethanthova Ponies,141
,Pyxanovia Pixies,128,Aiyota Pumps,138
,Stedro Boulders,151,Bongatar Banging Bongos,150
,Naxda Nomads,133,Red Rainbow Sickles,132
,Kaeshar Kaisers,132,Shmupland Dictators,120
,Autolik Autonomy,128,Height Sagua Cats,109
,Aahrus Moosi,128,Solea Geysers,127
,Avura Aviators,133,TND Tanks,132
,Lyintaria Lynx,115,Holykol Bears,123
,Holy Yektonisa Bishops,122,Transhimalia Disasters,126
,Czalliso Pythons,125,Dotruga Falno,131
Game 5,Home,Score,Away,Score
,Manwx Saguans,136,Key to Don Yees,139
,Blanaxon Hammers,120,Sagua Ocelots,138
,Barsein Bats,125,Calto Cows,102
,Dvimne Spirits,116,Boltway Bad Dragons,136
,Aiyota Pumps,116,Pyxanovia Pixies,118
,Bongatar Banging Bongos,137,Stedro Boulders,139
,Red Rainbow Sickles,126,Naxda Nomads,127
,Shmupland Dictators,131,Kaeshar Kaisers,136
,Height Sagua Cats,121,Autolik Autonomy,104
,Solea Geysers,140,Aahrus Moosi,137
,TND Tanks,140,Avura Aviators,136
,Holykol Bears,144,Lyintaria Lynx,127
,Transhimalia Disasters,143,Holy Yektonisa Bishops,136
,Dotruga Falno,111,Czalliso Pythons,127
Game 6,Home,Score,Away,Score
,Sagua Ocelots,106,Blanaxon Hammers,113
,Calto Cows,123,Barsein Bats,128
,Boltway Bad Dragons,130,Dvimne Spirits,152
,Pyxanovia Pixies,131,Aiyota Pumps,128
,Stedro Boulders,148,Bongatar Banging Bongos,143
,Naxda Nomads,134,Red Rainbow Sickles,143
,Autolik Autonomy,135,Height Sagua Cats,128
,Aahrus Moosi,127,Solea Geysers,126
,Avura Aviators,125,TND Tanks,143
,Lyintaria Lynx,138,Holykol Bears,124
,Holy Yektonisa Bishops,145,Transhimalia Disasters,122
,Czalliso Pythons,120,Dotruga Falno,121
Game 7,Home,Score,Away,Score
,Blanaxon Hammers,129,Sagua Ocelots,115
,Barsein Bats,129,Calto Cows,128
,Aiyota Pumps,109,Pyxanovia Pixies,112
,Bongatar Banging Bongos,126,Stedro Boulders,133
,Red Rainbow Sickles,125,Naxda Nomads,137
,Height Sagua Cats,125,Autolik Autonomy,136
,Dotruga Falno,121,Czalliso Pythons,114
Game 1,Home,Score,Away,Score
,Dvimne Spirits,125,Key to Don Yees,116
,Manwx Saguans,138,Boltway Bad Dragons,131
,Ethanthova Ponies,129,Auspikitan Golden Falcons,121
,Serkr Atolls,135,Faehrenfall Feathercats,137
,Blanaxon Hammers,123,Pyxanovia Pixies,120
,Aiyota Pumps,120,Sagua Ocelots,109
,Barsein Bats,119,Stedro Boulders,121
,Bongatar Banging Bongos,129,Calto Cows,111
,TND Tanks,132,Naxda Nomads,141
,Red Rainbow Sickles,124,Avura Aviators,123
,Lyintaria Lynx,119,Kaeshar Kaisers,116
,Holykol Bears,128,Shmupland Dictators,129
,Holy Yektonisa Bishops,146,Autolik Autonomy,142
,Transhimalia Disasters,152,Height Sagua Cats,149
,Aahrus Moosi,129,Dotruga Falno,133
,Solea Geysers,115,Czalliso Pythons,118
Game 2,Home,Score,Away,Score
,Dvimne Spirits,114,Key to Don Yees,109
,Manwx Saguans,130,Boltway Bad Dragons,133
,Ethanthova Ponies,134,Auspikitan Golden Falcons,128
,Serkr Atolls,132,Faehrenfall Feathercats,124
,Blanaxon Hammers,118,Pyxanovia Pixies,145
,Aiyota Pumps,112,Sagua Ocelots,132
,Barsein Bats,120,Stedro Boulders,116
,Bongatar Banging Bongos,142,Calto Cows,143
,TND Tanks,133,Naxda Nomads,128
,Red Rainbow Sickles,141,Avura Aviators,137
,Lyintaria Lynx,137,Kaeshar Kaisers,117
,Holykol Bears,136,Shmupland Dictators,128
,Holy Yektonisa Bishops,151,Autolik Autonomy,150
,Transhimalia Disasters,132,Height Sagua Cats,127
,Aahrus Moosi,136,Dotruga Falno,116
,Solea Geysers,152,Czalliso Pythons,141
Game 3,Home,Score,Away,Score
,Key to Don Yees,122,Dvimne Spirits,132
,Boltway Bad Dragons,125,Manwx Saguans,130
,Auspikitan Golden Falcons,122,Ethanthova Ponies,125
,Faehrenfall Feathercats,133,Serkr Atolls,140
,Pyxanovia Pixies,148,Blanaxon Hammers,135
,Sagua Ocelots,131,Aiyota Pumps,127
,Stedro Boulders,109,Barsein Bats,135
,Calto Cows,149,Bongatar Banging Bongos,155
,Naxda Nomads,127,TND Tanks,110
,Avura Aviators,134,Red Rainbow Sickles,143
,Kaeshar Kaisers,124,Lyintaria Lynx,133
,Shmupland Dictators,135,Holykol Bears,122
,Autolik Autonomy,129,Holy Yektonisa Bishops,130
,Height Sagua Cats,132,Transhimalia Disasters,131
,Dotruga Falno,121,Aahrus Moosi,124
,Czalliso Pythons,123,Solea Geysers,141
Game 4,Home,Score,Away,Score
,Key to Don Yees,126,Dvimne Spirits,143
,Boltway Bad Dragons,143,Manwx Saguans,140
,Auspikitan Golden Falcons,125,Ethanthova Ponies,134
,Faehrenfall Feathercats,100,Serkr Atolls,120
,Pyxanovia Pixies,127,Blanaxon Hammers,140
,Sagua Ocelots,129,Aiyota Pumps,137
,Stedro Boulders,133,Barsein Bats,142
,Calto Cows,128,Bongatar Banging Bongos,123
,Naxda Nomads,132,TND Tanks,120
,Avura Aviators,131,Red Rainbow Sickles,139
,Kaeshar Kaisers,108,Lyintaria Lynx,123
,Shmupland Dictators,115,Holykol Bears,116
,Autolik Autonomy,136,Holy Yektonisa Bishops,122
,Height Sagua Cats,121,Transhimalia Disasters,116
,Dotruga Falno,125,Aahrus Moosi,128
,Czalliso Pythons,127,Solea Geysers,115
Game 5,Home,Score,Away,Score
,Manwx Saguans,144,Boltway Bad Dragons,118
,Serkr Atolls,134,Faehrenfall Feathercats,130
,Blanaxon Hammers,118,Pyxanovia Pixies,129
,Aiyota Pumps,116,Sagua Ocelots,142
,Barsein Bats,137,Stedro Boulders,127
,Bongatar Banging Bongos,132,Calto Cows,128
,TND Tanks,126,Naxda Nomads,135
,Holykol Bears,125,Shmupland Dictators,117
,Holy Yektonisa Bishops,123,Autolik Autonomy,121
,Transhimalia Disasters,132,Height Sagua Cats,133
,Aahrus Moosi,133,Dotruga Falno,141
,Solea Geysers,138,Czalliso Pythons,130
Game 6,Home,Score,Away,Score
,Boltway Bad Dragons,125,Manwx Saguans,133
,Pyxanovia Pixies,123,Blanaxon Hammers,129
,Sagua Ocelots,136,Aiyota Pumps,140
,Calto Cows,134,Bongatar Banging Bongos,126
,Shmupland Dictators,126,Holykol Bears,140
,Height Sagua Cats,140,Transhimalia Disasters,127
,Dotruga Falno,124,Aahrus Moosi,132
,Czalliso Pythons,117,Solea Geysers,124
Game 7,Home,Score,Away,Score
,Blanaxon Hammers,126,Pyxanovia Pixies,123
,Aiyota Pumps,124,Sagua Ocelots,141
,Bongatar Banging Bongos,125,Calto Cows,115
